,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
2494,The Princess Diaries,108244774,165334774,,30000000,Aug 03 2001,G,115,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Garry Marshall,46,5.9,23486
2495,The Peacemaker,41263140,62967368,,50000000,Sep 26 1997,R,123,Dreamworks SKG,Based on Magazine Article,Action,Contemporary Fiction,Mimi Leder,45,5.8,21524
2496,Peter Pan,48417850,95255485,,100000000,Dec 25 2003,PG,113,Universal,Based on Book/Short Story,Adventure,Fantasy,P.J. Hogan,76,7.1,16894
2497,People I Know,121972,121972,,20000000,Apr 25 2003,R,,Miramax,,,,,,5.5,6305
2498,Perrier's Bounty,828,828,,6600000,May 21 2010,R,,,,,,,,6.2,808
2499,A Perfect Getaway,15515460,20613298,3994342,14000000,Aug 07 2009,R,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Twohy,60,6.5,16324
2500,Phat Girlz,7061128,7271305,18090044,3000000,Apr 07 2006,PG-13,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,23,2.2,6343
2501,Poolhall Junkies,563711,563711,,4000000,Feb 28 2003,R,,Gold Circle Films,Original Screenplay,Drama,Contemporary Fiction,,,6.8,5233
2502,The Phantom of the Opera,51225796,158225796,,55000000,Dec 22 2004,PG-13,143,Warner Bros.,Based on Musical/Opera,Musical,Historical Fiction,Joel Schumacher,33,7.2,42832
2503,Phone Booth,46566212,97837138,,11000000,Apr 04 2003,R,81,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2,68874
2504,The Pianist,32519322,120000000,,35000000,Dec 27 2002,R,149,Focus Features,Based on Real Life Events,Drama,Dramatization,Roman Polanski,,8.5,134516
2505,The Pink Panther,82226474,158926474,23182695,80000000,Feb 10 2006,PG,,Sony Pictures,,Comedy,Historical Fiction,Shawn Levy,22,5.1,28456
2506,Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,,125000000,Jul 09 2003,PG-13,143,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,,8,232719
2507,Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,320830925,225000000,Jul 07 2006,PG-13,151,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3,150446
2508,Pirates of the Caribbean: At World's End,309420425,960996492,296060575,300000000,May 25 2007,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7,133241
2509,The Chronicles of Riddick,57712751,107212751,,120000000,Jun 11 2004,PG-13,119,Universal,Original Screenplay,Adventure,Science Fiction,David Twohy,29,6.4,49383
2510,Pitch Black,39235088,53182088,,23000000,Feb 18 2000,R,110,USA Films,Original Screenplay,Horror,Science Fiction,David Twohy,55,7,55217
2511,Play it to the Bone,8427204,8427204,,24000000,Dec 24 1999,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ron Shelton,,5.1,6039
2512,Screwed,6982680,6982680,,12000000,May 12 2000,PG-13,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,13,5.1,4411
2513,Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,30795712,95000000,Feb 12 2010,PG,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,50,5.8,20451
2514,"Paris, je t'aime",4857374,4857374,,13000000,May 04 2007,R,,First Look,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,,6.6,175
2515,Princess Kaiulani,883454,883454,,9000000,May 14 2010,PG,,Roadside Attractions,Based on Real Life Events,Drama,Dramatization,,,5.3,224
2516,Lake Placid,31770413,31770413,,27000000,Jul 16 1999,R,82,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Steve Miner,38,5.3,19382
2517,The Back-up Plan,37490007,77090007,7571152,35000000,Apr 23 2010,PG-13,106,CBS Films,Original Screenplay,Romantic Comedy,Contemporary Fiction,,20,4.4,6981
2518,The Pledge,19719930,29406132,,45000000,Jan 19 2001,R,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Sean Penn,77,6.9,22609
2519,Proof of Life,32598931,62761005,,65000000,Dec 08 2000,R,135,Warner Bros.,Based on Magazine Article,Action,Contemporary Fiction,Taylor Hackford,39,6.1,23099
2520,Pollock,8596914,10557291,,6000000,Dec 15 2000,R,,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Ed Harris,82,7.1,9669
2521,Planet of the Apes,180011740,362211740,,100000000,Jul 27 2001,PG-13,120,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763
2522,Please Give,4028339,4028339,,3000000,Apr 30 2010,R,,Sony Pictures Classics,,,,,88,7.4,1023
2523,Planet 51,42194060,108005745,15341764,50000000,Nov 20 2009,PG,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,,22,6.1,9645
2524,The Adventures of Pluto Nash,4411102,7094995,,100000000,Aug 16 2002,PG-13,,Warner Bros.,Original Screenplay,Comedy,Science Fiction,,6,3.7,9207
2525,The Players Club,23047939,23047939,,5000000,Apr 08 1998,R,104,New Line,Original Screenplay,Drama,Contemporary Fiction,,27,4.8,2072
2526,Paranormal Activity,107918810,193770453,14051496,15000,Sep 25 2009,R,85,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7,53455
2527,The Pineapple Express,87341380,100941380,45217362,26000000,Aug 06 2008,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,David Gordon Green,,,
2528,Pinocchio,3681811,31681811,,45000000,Dec 25 2002,G,,Miramax,Based on Book/Short Story,Adventure,Fantasy,Roberto Benigni,,3.5,3215
2529,Pandaemonium,0,0,,15000000,Jun 29 2001,PG-13,,,,,,,,6.5,496
2530,Pandorum,10330853,17033431,4018696,40000000,Sep 25 2009,R,,Overture Films,Original Screenplay,Horror,Science Fiction,,28,6.9,29428
2531,The Punisher,33664370,54664370,,33000000,Apr 16 2004,R,124,Lionsgate,Based on Comic/Graphic Novel,Action,Super Hero,,30,6.4,50482
2532,Pokemon 2000,43746923,133946923,,30000000,Jul 21 2000,G,99,Warner Bros.,Based on TV,Adventure,Kids Fiction,,,,
2533,Pokemon 3: The Movie,17052128,68452128,,3000000,Apr 06 2001,G,,Warner Bros.,Based on TV,Adventure,Kids Fiction,,23,3.5,2577
2534,The Polar Express,181320597,305420597,,170000000,Nov 10 2004,G,99,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Robert Zemeckis,56,6.7,28550
2535,Along Came Polly,88073507,170360435,,42000000,Jan 16 2004,PG-13,90,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,26,5.8,38276
2536,Gake no ue no Ponyo,15090399,199090399,12626319,34000000,Aug 14 2009,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,,7.8,13821
2537,Pootie Tang,3293258,3293258,,3500000,Jun 29 2001,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,27,4.5,6183
2538,Poseidon,60674817,181674817,19732418,160000000,May 12 2006,PG-13,,Warner Bros.,Remake,Adventure,Contemporary Fiction,Wolfgang Petersen,33,5.6,35930
2539,Possession,10103647,14805812,,25000000,Aug 16 2002,PG-13,,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Neil LaBute,64,6.4,6789
2540,Peter Pan: Return to Neverland,48430258,109862682,,20000000,Feb 15 2002,G,72,Walt Disney Pictures,Based on Play,Adventure,Kids Fiction,,46,,
2541,Practical Magic,46850558,68336997,,60000000,Oct 16 1998,PG-13,105,Warner Bros.,Based on Book/Short Story,Comedy,Fantasy,Griffin Dunne,21,5.5,20196
2542,The Devil Wears Prada,124740460,326551094,95856827,35000000,Jun 30 2006,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,David Frankel,75,6.8,66627
2543,The Boat That Rocked,8017467,37472651,1374953,50000000,Nov 13 2009,R,134,Focus Features,Original Screenplay,Comedy,Historical Fiction,,,7.5,25415
2544,Paparazzi,15712072,16612072,,20000000,Sep 03 2004,PG-13,,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,18,5.7,9058
2545,Primary Colors,39017984,39017984,,65000000,Mar 20 1998,R,143,Universal,Based on Book/Short Story,Comedy,Dramatization,Mike Nichols,80,6.7,15340
2546,Precious (Based on the Novel Push by Sapphire),47566524,63471431,20130576,10000000,Nov 06 2009,R,109,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Lee Daniels,,7.5,24504
2547,Pride and Glory,15740721,43440721,11495577,30000000,Oct 24 2008,R,129,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,34,6.7,24596
2548,Pride and Prejudice,38372662,120918508,53281347,28000000,Nov 11 2005,PG,,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Joe Wright,85,5.5,1230
2549,The Road to Perdition,104054514,181054514,,80000000,Jul 12 2002,R,117,Dreamworks SKG,Based on Comic/Graphic Novel,Drama,Historical Fiction,Sam Mendes,,,
2550,Predators,51920690,124549380,,40000000,Jul 09 2010,R,109,20th Century Fox,Original Screenplay,Action,,,63,6.9,22257
2551,Prefontaine,590817,590817,,8000000,Jan 24 1997,PG-13,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,,62,6.2,2580
2552,Perfume: The Story of a Murderer,2223293,132180323,7529604,63700000,Dec 27 2006,R,147,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58,7.5,51704
2553,The Prince & Me,28165882,29356757,,30000000,Apr 02 2004,PG,111,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martha Coolidge,,5.6,9547
2554,The Perfect Man,16535005,19535005,,10000000,Jun 17 2005,PG,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5.1,7278
2555,The Pursuit of Happyness,162586036,306086036,90857430,55000000,Dec 15 2006,PG-13,116,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8,77939
2556,Primer,424760,565846,,7000,Oct 08 2004,PG-13,80,ThinkFilm,Original Screenplay,Drama,Science Fiction,,,6.9,17454
2557,Pearl Harbor,198539855,449239855,,151500000,May 25 2001,PG-13,183,Walt Disney Pictures,Based on Real Life Events,Action,Dramatization,Michael Bay,26,5.4,96186
2558,Premonition,47852604,81461343,33241945,20000000,Mar 16 2007,PG-13,97,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,8,,
2559,The Prince of Egypt,101413188,218600000,,60000000,Dec 18 1998,PG,97,Dreamworks SKG,Based on Book/Short Story,Adventure,Dramatization,Steve Hickner,79,6.8,24569
2560,The Producers: The Movie Musical,19398532,32952995,5338452,45000000,Dec 16 2005,PG-13,,Universal,Remake,Musical,Historical Fiction,,,,
2561,Prom Night,43869350,57109687,8497205,18000000,Apr 11 2008,PG-13,85,Sony/Screen Gems,Remake,Horror,Contemporary Fiction,,8,5.1,4263
2562,Proof,7535331,8284331,9239421,20000000,Sep 16 2005,PG-13,,Miramax,Based on Play,Drama,Contemporary Fiction,John Madden,64,6.9,18622
2563,Panic Room,95308367,196308367,,48000000,Mar 29 2002,R,112,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737
2564,The Proposal,163958031,317358031,83691948,40000000,Jun 19 2009,PG-13,107,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Anne Fletcher,43,5.4,397
2565,Prince of Persia: Sands of Time,90755643,335055643,,200000000,May 28 2010,PG-13,103,Walt Disney Pictures,Based on Game,Action,Fantasy,Mike Newell,,,
2566,The Prestige,53089891,107896006,45394364,40000000,Oct 20 2006,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Christopher Nolan,75,8.4,207322
2567,The Party's Over,0,0,,1000000,Oct 24 2003,,,Film Movement,,,,,,,
2568,The Postman,17650704,17650704,,80000000,Dec 25 1997,R,177,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Kevin Costner,10,5.5,24045
2569,Psycho Beach Party,267972,267972,,4000000,Aug 04 2000,Not Rated,,,,Comedy,,,55,6,3085
2570,Psycho,21541218,37226218,,20000000,Dec 04 1998,R,100,Universal,Remake,Horror,Contemporary Fiction,Gus Van Sant,35,4.5,19769
2571,The Patriot,113330342,215300000,,110000000,Jun 28 2000,R,165,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Roland Emmerich,62,6.9,78302
2572,Public Enemies,97104620,210379983,35026854,102500000,Jul 01 2009,R,,Universal,Based on Book/Short Story,Drama,Dramatization,Michael Mann,68,7.1,71323
2573,The Powerpuff Girls,11411644,16425701,,25000000,Jul 03 2002,PG,,Warner Bros.,Based on TV,Adventure,Super Hero,,,5.9,3234
2574,Pulse,20264436,29771485,,7500000,Aug 11 2006,R,,Weinstein/Dimension,Remake,Horror,Contemporary Fiction,,11,5,846
2575,Punch-Drunk Love,17791031,24591031,,25000000,Oct 11 2002,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Paul Thomas Anderson,79,7.4,49786
2576,Punisher: War Zone,8050977,8199130,10872355,35000000,Dec 05 2008,R,101,Lionsgate,Based on Comic/Graphic Novel,Action,Super Hero,,26,6.1,20865
2577,Push,31811527,44411527,16118548,38000000,Feb 06 2009,PG-13,111,Summit Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,,23,6,26623
2578,Pushing Tin,8408835,8408835,,33000000,Apr 23 1999,R,,20th Century Fox,Based on Magazine Article,Comedy,Contemporary Fiction,Mike Newell,49,5.9,16160
2579,The Painted Veil,8060487,15118795,7574035,19400000,Dec 20 2006,PG-13,125,Warner Independent,Based on Book/Short Story,Drama,Historical Fiction,,74,7.6,26331
2580,Pay it Forward,33508922,33508922,,40000000,Oct 20 2000,PG-13,123,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Mimi Leder,40,6.8,36762
2581,Queen of the Damned,30307804,30307804,,35000000,Feb 22 2002,R,101,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,,17,4.7,20268
2582,The Quiet American,12987647,12987647,,20000000,Nov 22 2002,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.2,14285
2583,All the Queen's Men,22723,22723,,15000000,Oct 25 2002,PG-13,,Strand,Original Screenplay,Comedy,,,,3.5,1591
2584,Quarantine,31691811,36091811,13657408,12000000,Oct 10 2008,R,,Sony/Screen Gems,Original Screenplay,Horror,Contemporary Fiction,John Erick Dowdle,58,6.1,21939
2585,The Queen,56441711,122840603,29161789,15000000,Sep 30 2006,PG-13,103,Miramax,Based on Real Life Events,Drama,Dramatization,Stephen Frears,97,7.6,34785
2586,Quest for Camelot,22772500,38172500,,40000000,May 15 1998,G,85,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,,33,5,3053
2587,The Quiet,381420,381420,,900000,Aug 25 2006,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,6.5,7689
2588,Quinceanera,1692693,2522787,,400000,Aug 02 2006,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,7.1,2577
2589,Rabbit-Proof Fence,6199600,16199600,,7000000,Nov 29 2002,PG,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.6,13241
2590,Radio,52333738,53293628,,35000000,Oct 24 2003,PG,109,Sony Pictures,Based on Real Life Events,Drama,Dramatization,,35,6.9,12070
2591,The Rainmaker,45916769,45916769,,40000000,Nov 21 1997,PG-13,135,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Francis Ford Coppola,84,6.9,20514
2592,Rambo,42754105,116754105,38751777,47500000,Jan 25 2008,R,,Lionsgate,Based on Book/Short Story,Action,Contemporary Fiction,Sylvester Stallone,,7.3,82600
2593,Random Hearts,31054924,63200000,,64000000,Oct 08 1999,R,133,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Sydney Pollack,15,4.8,11100
2594,Rugrats in Paris,76501438,103284813,,30000000,Nov 17 2000,G,79,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,,
2595,Rugrats Go Wild,39402572,55443032,,25000000,Jun 13 2003,PG,84,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,40,5,1847
2596,Ratatouille,206445654,620495432,189134287,150000000,Jun 29 2007,G,111,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929
2597,Ray,75305995,125305995,,40000000,Oct 29 2004,PG-13,152,Universal,Based on Real Life Events,Drama,Dramatization,Taylor Hackford,81,,
2598,BloodRayne,2405420,2405420,10828222,25000000,Jan 06 2006,R,,Romar,Based on Game,Action,Fantasy,Uwe Boll,4,2.7,20137
2599,Rollerball,18990542,25852508,,70000000,Feb 08 2002,PG-13,,MGM,Remake,Action,Science Fiction,John McTiernan,3,2.8,13827
2600,Robin Hood,105269730,310885538,,210000000,May 14 2010,PG-13,140,Universal,Traditional/Legend/Fairytale,Action,Historical Fiction,Ridley Scott,43,6.9,34501
2601,Robots,128200012,260700012,,80000000,Mar 11 2005,PG,89,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,64,6.4,27361
2602,A Room for Romeo Brass,20097,20097,,5250000,Oct 27 2000,R,,,,,,Shane Meadows,,7.6,2393
2603,Runaway Bride,152257509,308007919,,70000000,Jul 30 1999,PG,116,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,45,5.2,28497
2604,Racing Stripes,49772522,93772522,,30000000,Jan 14 2005,PG,110,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,35,5.2,5086
2605,Rocky Balboa,70269899,155720088,34669384,24000000,Dec 20 2006,PG,102,MGM,,Drama,Contemporary Fiction,Sylvester Stallone,76,7.4,63717
2606,The Road to El Dorado,50802661,65700000,,95000000,Mar 31 2000,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,David Silverman,49,6.4,8876
2607,Riding Giants,2276368,3216111,,2600000,Jul 09 2004,PG-13,,Sony Pictures,Based on Real Life Events,Documentary,Factual,,93,7.7,2193
2608,Red Dragon,92955420,206455420,,78000000,Oct 04 2002,R,125,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3,66386
2609,The Reader,34192652,106107610,12359754,33000000,Dec 10 2008,R,123,Weinstein Co.,Based on Book/Short Story,Drama,Contemporary Fiction,Stephen Daldry,61,7.7,46984
2610,The Reaping,25126214,62226214,19812272,40000000,Apr 05 2007,R,100,Warner Bros.,Original Screenplay,Horror,Fantasy,Stephen Hopkins,8,5.6,19881
2611,Rebound,16809014,17492014,,45000000,Jul 01 2005,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,14,4.7,4485
2612,Recess: School's Out,36696761,44451470,,10000000,Feb 16 2001,G,83,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,62,6.2,2176
2613,Redacted,65388,65388,,5000000,Nov 16 2007,R,90,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Brian De Palma,44,6.1,5759
2614,Red-Eye,57891803,95891803,,26000000,Aug 19 2005,PG-13,85,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wes Craven,,6.5,42489
2615,Reign Over Me,19661987,20081987,16021076,20000000,Mar 23 2007,R,128,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63,7.7,39234
2616,The Relic,33956608,33956608,,60000000,Jan 10 1997,R,110,Paramount Pictures,Based on Book/Short Story,Horror,Science Fiction,Peter Hyams,32,5.4,10249
2617,Religulous,13011160,13136074,7486708,2500000,Oct 01 2008,R,101,Lionsgate,Based on Real Life Events,Documentary,Factual,Larry Charles,69,7.8,23094
2618,Remember Me,19068240,55343435,9952465,16000000,Mar 12 2010,PG-13,,Summit Entertainment,,Drama,Contemporary Fiction,,28,7,16319
2619,"Remember Me, My Love",223878,223878,,6700000,Sep 03 2004,Not Rated,,IDP Distribution,Original Screenplay,Comedy,,Gabriele Muccino,,7,16319
2620,Rent,29077547,31670620,31412380,40000000,Nov 23 2005,PG-13,,Sony Pictures,Based on Musical/Opera,Musical,Historical Fiction,Chris Columbus,47,6.9,22605
2621,The Replacements,44737059,50054511,,50000000,Aug 11 2000,PG-13,118,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,39,6.2,21542
2622,The Replacement Killers,19035741,19035741,,30000000,Feb 06 1998,R,86,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,39,5.9,13905
2623,Resident Evil: Apocalypse,50740078,128940078,,50000000,Sep 10 2004,R,94,Sony Pictures,Based on Game,Horror,Science Fiction,,,5.8,52753
2624,Resident Evil: Extinction,50648679,146162920,34217549,45000000,Sep 21 2007,R,95,Sony/Screen Gems,Based on Game,Action,Science Fiction,Russell Mulcahy,22,6.2,49502
2625,Resident Evil: Afterlife 3D,46368993,149568993,,57500000,Sep 10 2010,R,,Sony/Screen Gems,Based on Game,Horror,Science Fiction,Paul Anderson,,,
2626,Resident Evil,40119709,103787401,,35000000,Mar 15 2002,R,100,Sony Pictures,Based on Game,Horror,Science Fiction,Paul Anderson,34,6.4,68342
2627,Return to Me,32662299,32662299,,24000000,Apr 07 2000,PG,116,MGM,Original Screenplay,Romantic Comedy,Contemporary Fiction,,61,6.6,9565
2628,Revolutionary Road,22911480,76989671,7642600,35000000,Dec 26 2008,R,,Paramount Vantage,Based on Book/Short Story,Drama,Historical Fiction,Sam Mendes,68,7.6,45887
2629,Be Kind Rewind,11175164,28505302,5162454,20000000,Feb 22 2008,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Michel Gondry,65,6.6,42470
2630,Reign of Fire,43061982,82150183,,60000000,Feb 19 2002,PG-13,102,Walt Disney Pictures,Original Screenplay,Action,Fantasy,,40,5.9,38414
2631,Reindeer Games,23360779,23360779,,36000000,Feb 25 2000,R,104,Miramax,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,,5.5,16822
2632,Rachel Getting Married,12796277,13326280,6635346,12000000,Oct 03 2008,R,111,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86,6.9,20451
2633,The Rugrats Movie,100494685,140894685,,28000000,Nov 20 1998,G,79,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,57,5.4,4857
2634,Riding in Cars with Boys,29781453,29781453,,47000000,Oct 19 2001,PG-13,131,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Penny Marshall,48,6.2,11895
2635,Ride With the Devil,630779,630779,,35000000,Nov 24 1999,R,,USA Films,Based on Book/Short Story,Western,Historical Fiction,Ang Lee,63,6.4,1873
2636,The Ring Two,75941727,161941727,,50000000,Mar 18 2005,PG-13,111,Dreamworks SKG,Remake,Horror,Contemporary Fiction,,20,5.1,28408
2637,Rize,3278611,4462763,,700000,Jun 24 2005,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,,,6.8,2052
2638,The Adventures of Rocky & Bullwinkle,26000610,35129610,,76000000,Jun 30 2000,PG,91,Universal,Based on TV,Comedy,Kids Fiction,,42,4.1,10320
2639,All the Real Girls,549666,703020,,1000000,Feb 14 2003,R,,Sony Pictures Classics,Original Screenplay,Drama,,David Gordon Green,71,7.1,5632
2640,Real Women Have Curves,5853194,5853194,,3000000,Oct 18 2002,PG-13,,Newmarket Films,Based on Play,Comedy,Contemporary Fiction,,83,7,4396
2641,Son of Rambow: A Home Movie,1785505,10573083,,2000000,May 02 2008,PG-13,,Paramount Vantage,Original Screenplay,Comedy,Historical Fiction,,,,
2642,Romance and Cigarettes,551002,3231251,,11000000,Sep 07 2007,R,,Borotoro,Original Screenplay,Comedy,Contemporary Fiction,John Turturro,,6.2,5362
2643,Reno 911!: Miami,20342161,20342161,16323972,10000000,Feb 23 2007,R,81,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,,35,5.8,15684
2644,Rounders,22921898,22921898,,12000000,Sep 11 1998,R,120,Miramax,Original Screenplay,Drama,Contemporary Fiction,John Dahl,64,7.3,45439
2645,Rendition,9736045,20437142,6007008,27500000,Oct 19 2007,R,121,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Gavin Hood,46,6.9,23223
2646,The Rocker,6409528,8767338,7970409,15000000,Aug 20 2008,PG-13,102,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,40,6.3,11859
2647,Rock Star,16991902,19317765,,38000000,Sep 07 2001,R,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Stephen Herek,52,5.8,15806
2648,The Rookie,75600072,80693537,,22000000,Mar 29 2002,G,128,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,82,5.5,8453
2649,Roll Bounce,17380866,17500866,,10000000,Sep 23 2005,PG-13,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,64,5,3167
2650,Romeo Must Die,55973336,91036760,,25000000,Mar 22 2000,R,114,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.9,25309
2651,Ronin,41610884,41610884,,55000000,Sep 25 1998,R,121,MGM,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,68,7.2,57484
2652,The Ballad of Jack and Rose,712294,712294,,1500000,Mar 25 2005,R,,IFC Films,Original Screenplay,Drama,,,,6.8,5223
2653,Red Planet,17480890,33463969,,80000000,Nov 10 2000,PG-13,,Warner Bros.,Original Screenplay,Action,Science Fiction,,12,5.3,20989
2654,Requiem for a Dream,3635482,7390108,,4500000,Oct 06 2000,Open,,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Darren Aronofsky,78,8.5,185226
2655,Rat Race,56607223,86607223,,48000000,Aug 17 2001,PG-13,112,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4,40087
2656,Rescue Dawn,5490423,7037886,24745520,10000000,Jul 04 2007,PG-13,125,MGM,Based on Real Life Events,Action,Historical Fiction,Werner Herzog,,7.5,37764
2657,The Real Cancun,3816594,3816594,,4000000,Apr 25 2003,R,,New Line,Based on TV,Documentary,Factual,,35,2.3,3211
2658,Restless,0,0,,15000000,Jan 28 2011,,,Sony Pictures,,,,,,6.7,300
2659,Remember the Titans,115654751,136706683,,30000000,Sep 29 2000,PG,113,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,Boaz Yakin,72,7.5,49844
2660,Righteous Kill,40081410,76781410,16209689,60000000,Sep 12 2008,R,100,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,20,6,34641
2661,Road Trip,68525609,119739110,,16000000,May 19 2000,R,94,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,59,6.4,44702
2662,The Ruins,17432844,22177122,10610865,25000000,Apr 04 2008,R,,Paramount Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,47,6,23752
2663,Rules of Engagement,61322858,71719931,,60000000,Apr 07 2000,R,127,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,William Friedkin,37,6.2,18462
2664,The Rundown,47641743,80831893,,85000000,Sep 26 2003,PG-13,104,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,,6.6,30855
2665,Running Scared,6855137,8345277,,17000000,Feb 24 2006,R,,New Line,Original Screenplay,Action,Contemporary Fiction,,40,7.5,39447
